%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1539766022920725412,0.2,0.0,0.0,0.0,0.0,0.0
1539766023021494520,0.2,0.0,0.0,0.0,0.0,0.0
1539766023118950583,0.2,0.0,0.0,0.0,0.0,0.0
1539766023219587210,0.2,0.0,0.0,0.0,0.0,0.0
1539766023321596608,0.2,0.0,0.0,0.0,0.0,0.0
1539766023419057826,0.2,0.0,0.0,0.0,0.0,0.0
1539766023519546026,0.2,0.0,0.0,0.0,0.0,0.0
1539766023618972319,0.2,0.0,0.0,0.0,0.0,0.0
1539766023719910175,0.2,0.0,0.0,0.0,0.0,0.0
1539766023820944275,0.2,0.0,0.0,0.0,0.0,0.0
1539766023919898516,0.2,0.0,0.0,0.0,0.0,0.0
1539766024019549535,0.2,0.0,0.0,0.0,0.0,0.0
1539766024119083853,0.2,0.0,0.0,0.0,0.0,0.0
1539766024220048074,0.0,0.0,0.0,0.0,0.0,-2.0
1539766024318993995,0.0,0.0,0.0,0.0,0.0,-2.0
1539766024419895980,0.0,0.0,0.0,0.0,0.0,-2.0
1539766024519019181,0.0,0.0,0.0,0.0,0.0,-2.0
1539766024619873773,0.0,0.0,0.0,0.0,0.0,-2.0
1539766024718949789,0.0,0.0,0.0,0.0,0.0,-2.0
1539766024819008186,0.0,0.0,0.0,0.0,0.0,-2.0
1539766024918979246,0.0,0.0,0.0,0.0,0.0,-2.0
1539766025019036603,0.2,0.0,0.0,0.0,0.0,0.0
1539766025119032464,0.2,0.0,0.0,0.0,0.0,0.0
1539766025219984718,0.2,0.0,0.0,0.0,0.0,0.0
1539766025319906209,0.2,0.0,0.0,0.0,0.0,0.0
1539766025418996454,0.2,0.0,0.0,0.0,0.0,0.0
1539766025519000023,0.2,0.0,0.0,0.0,0.0,0.0
1539766025618989166,0.2,0.0,0.0,0.0,0.0,0.0
1539766025719986469,0.2,0.0,0.0,0.0,0.0,0.0
1539766025819001876,0.2,0.0,0.0,0.0,0.0,0.0
1539766025918981905,0.2,0.0,0.0,0.0,0.0,0.0
1539766026018997662,0.2,0.0,0.0,0.0,0.0,0.0
1539766026119685519,0.2,0.0,0.0,0.0,0.0,0.0
1539766026219061121,0.2,0.0,0.0,0.0,0.0,0.0
1539766026319034860,0.2,0.0,0.0,0.0,0.0,0.0
1539766026420871598,0.2,0.0,0.0,0.0,0.0,0.0
1539766026519105246,0.2,0.0,0.0,0.0,0.0,0.0
1539766026622305485,0.2,0.0,0.0,0.0,0.0,0.0
1539766026721464175,0.2,0.0,0.0,0.0,0.0,0.0
1539766026819056669,0.2,0.0,0.0,0.0,0.0,0.0
1539766026919941648,0.2,0.0,0.0,0.0,0.0,0.0
1539766027019953928,0.0,0.0,0.0,0.0,0.0,2.0
1539766027119984706,0.0,0.0,0.0,0.0,0.0,2.0
1539766027220013609,0.0,0.0,0.0,0.0,0.0,2.0
1539766027320076208,0.0,0.0,0.0,0.0,0.0,2.0
1539766027419984755,0.0,0.0,0.0,0.0,0.0,2.0
1539766027521629590,0.0,0.0,0.0,0.0,0.0,2.0
1539766027619118249,0.0,0.0,0.0,0.0,0.0,2.0
1539766027719011067,0.0,0.0,0.0,0.0,0.0,2.0
1539766027819136943,0.0,0.0,0.0,0.0,0.0,0.0
1539766027919638470,0.0,0.0,0.0,0.0,0.0,0.0
1539766028019009190,0.0,0.0,0.0,0.0,0.0,0.0
1539766028119935441,0.0,0.0,0.0,0.0,0.0,0.0
1539766028220012529,0.0,0.0,0.0,0.0,0.0,0.0
1539766028319200251,0.0,0.0,0.0,0.0,0.0,0.0
1539766028418985068,0.0,0.0,0.0,0.0,0.0,0.0
1539766028518971590,0.0,0.0,0.0,0.0,0.0,0.0
1539766028619904090,0.0,0.0,0.0,0.0,0.0,0.0
1539766028719853948,0.0,0.0,0.0,0.0,0.0,0.0
1539766028819931557,0.0,0.0,0.0,0.0,0.0,0.0
1539766028919019286,0.0,0.0,0.0,0.0,0.0,0.0
1539766029019948610,0.0,0.0,0.0,0.0,0.0,0.0
1539766029121250316,0.0,0.0,0.0,0.0,0.0,0.0
1539766029219664508,0.0,0.0,0.0,0.0,0.0,0.0
1539766029319028844,0.0,0.0,0.0,0.0,0.0,0.0
1539766029419900214,0.0,0.0,0.0,0.0,0.0,0.0
